Timestamp,nWifi,RngRun,FlowSrc,Throughput
2020-06-13 07:05,2,1,192.168.1.1,59.8334
2020-06-13 07:05,2,1,192.168.1.2,61.982
2020-06-13 07:06,4,1,192.168.1.1,27.0701
2020-06-13 07:06,4,1,192.168.1.2,27.8097
2020-06-13 07:06,4,1,192.168.1.3,26.2938
2020-06-13 07:06,4,1,192.168.1.4,25.932
2020-06-13 07:07,6,1,192.168.1.1,18.4659
2020-06-13 07:07,6,1,192.168.1.2,16.4394
2020-06-13 07:07,6,1,192.168.1.3,13.5885
2020-06-13 07:07,6,1,192.168.1.4,16.7343
2020-06-13 07:07,6,1,192.168.1.5,15.7654
2020-06-13 07:07,6,1,192.168.1.6,15.7291
2020-06-13 07:08,8,1,192.168.1.1,14.8123
2020-06-13 07:08,8,1,192.168.1.2,13.0494
2020-06-13 07:08,8,1,192.168.1.3,8.07918
2020-06-13 07:08,8,1,192.168.1.4,13.0563
2020-06-13 07:08,8,1,192.168.1.5,12.7689
2020-06-13 07:08,8,1,192.168.1.6,11.5211
2020-06-13 07:08,8,1,192.168.1.7,8.60681
2020-06-13 07:08,8,1,192.168.1.8,6.8261
2020-06-13 07:09,10,1,192.168.1.1,7.78229
2020-06-13 07:09,10,1,192.168.1.2,10.4598
2020-06-13 07:09,10,1,192.168.1.3,10.3155
2020-06-13 07:09,10,1,192.168.1.4,8.65633
2020-06-13 07:09,10,1,192.168.1.5,7.86976
2020-06-13 07:09,10,1,192.168.1.6,8.70592
2020-06-13 07:09,10,1,192.168.1.7,8.31544
2020-06-13 07:09,10,1,192.168.1.8,7.20868
2020-06-13 07:09,10,1,192.168.1.9,5.44147
2020-06-13 07:09,10,1,192.168.1.10,9.58191
2020-06-13 07:10,2,2,192.168.1.1,60.1008
2020-06-13 07:10,2,2,192.168.1.2,61.7233
2020-06-13 07:10,4,2,192.168.1.1,25.3525
2020-06-13 07:10,4,2,192.168.1.2,25.6144
2020-06-13 07:10,4,2,192.168.1.3,29.9564
2020-06-13 07:10,4,2,192.168.1.4,25.5018
2020-06-13 07:11,6,2,192.168.1.1,14.0199
2020-06-13 07:11,6,2,192.168.1.2,15.8707
2020-06-13 07:11,6,2,192.168.1.3,17.9017
2020-06-13 07:11,6,2,192.168.1.4,15.7799
2020-06-13 07:11,6,2,192.168.1.5,18.1166
2020-06-13 07:11,6,2,192.168.1.6,17.4354
2020-06-13 07:12,8,2,192.168.1.1,15.0243
2020-06-13 07:12,8,2,192.168.1.2,14.2611
2020-06-13 07:12,8,2,192.168.1.3,14.4875
2020-06-13 07:12,8,2,192.168.1.4,14.8829
2020-06-13 07:12,8,2,192.168.1.5,13.2275
2020-06-13 07:12,8,2,192.168.1.6,-0
2020-06-13 07:12,8,2,192.168.1.7,10.2822
2020-06-13 07:12,8,2,192.168.1.8,14.0351
2020-06-13 07:13,10,2,192.168.1.1,10.4956
2020-06-13 07:13,10,2,192.168.1.2,12.659
2020-06-13 07:13,10,2,192.168.1.3,9.66104
2020-06-13 07:13,10,2,192.168.1.4,10.4994
2020-06-13 07:13,10,2,192.168.1.5,7.31465
2020-06-13 07:13,10,2,192.168.1.6,10.659
2020-06-13 07:13,10,2,192.168.1.7,10.165
2020-06-13 07:13,10,2,192.168.1.8,-0
2020-06-13 07:13,10,2,192.168.1.9,11.186
2020-06-13 07:13,10,2,192.168.1.10,11.803
2020-06-13 07:14,2,3,192.168.1.1,62.0137
2020-06-13 07:14,2,3,192.168.1.2,59.6229
2020-06-13 07:15,4,3,192.168.1.1,27.1399
2020-06-13 07:15,4,3,192.168.1.2,26.7284
2020-06-13 07:15,4,3,192.168.1.3,26.3966
2020-06-13 07:15,4,3,192.168.1.4,27.4535
2020-06-13 07:16,6,3,192.168.1.1,17.4591
2020-06-13 07:16,6,3,192.168.1.2,16.1717
2020-06-13 07:16,6,3,192.168.1.3,14.6045
2020-06-13 07:16,6,3,192.168.1.4,17.1157
2020-06-13 07:16,6,3,192.168.1.5,17.1121
2020-06-13 07:16,6,3,192.168.1.6,14.983
2020-06-13 07:17,8,3,192.168.1.1,11.1986
2020-06-13 07:17,8,3,192.168.1.2,11.3659
2020-06-13 07:17,8,3,192.168.1.3,12.9051
2020-06-13 07:17,8,3,192.168.1.4,11.3463
2020-06-13 07:17,8,3,192.168.1.5,10.6772
2020-06-13 07:17,8,3,192.168.1.6,11.6266
2020-06-13 07:17,8,3,192.168.1.7,14.0878
2020-06-13 07:17,8,3,192.168.1.8,8.30322
2020-06-13 07:18,10,3,192.168.1.1,7.15207
2020-06-13 07:18,10,3,192.168.1.2,8.48774
2020-06-13 07:18,10,3,192.168.1.3,7.99225
2020-06-13 07:18,10,3,192.168.1.4,5.31575
2020-06-13 07:18,10,3,192.168.1.5,10.4806
2020-06-13 07:18,10,3,192.168.1.6,7.92255
2020-06-13 07:18,10,3,192.168.1.7,11.673
2020-06-13 07:18,10,3,192.168.1.8,13.1105
2020-06-13 07:18,10,3,192.168.1.9,11.0315
2020-06-13 07:18,10,3,192.168.1.10,6.7929
2020-06-13 07:19,2,4,192.168.1.1,61.3333
2020-06-13 07:19,2,4,192.168.1.2,60.6884
2020-06-13 07:20,4,4,192.168.1.1,24.3653
2020-06-13 07:20,4,4,192.168.1.2,29.7932
2020-06-13 07:20,4,4,192.168.1.3,26.2693
2020-06-13 07:20,4,4,192.168.1.4,27.5565
2020-06-13 07:21,6,4,192.168.1.1,9.07677
2020-06-13 07:21,6,4,192.168.1.2,16.9988
2020-06-13 07:21,6,4,192.168.1.3,19.7172
2020-06-13 07:21,6,4,192.168.1.4,15.9148
2020-06-13 07:21,6,4,192.168.1.5,18.0107
2020-06-13 07:21,6,4,192.168.1.6,18.3295
2020-06-13 07:22,8,4,192.168.1.1,10.0855
2020-06-13 07:22,8,4,192.168.1.2,9.96235
2020-06-13 07:22,8,4,192.168.1.3,12.7366
2020-06-13 07:22,8,4,192.168.1.4,11.3475
2020-06-13 07:22,8,4,192.168.1.5,8.8604
2020-06-13 07:22,8,4,192.168.1.6,14.1139
2020-06-13 07:22,8,4,192.168.1.7,10.8177
2020-06-13 07:22,8,4,192.168.1.8,12.6242
2020-06-13 07:23,10,4,192.168.1.1,7.52668
2020-06-13 07:23,10,4,192.168.1.2,8.627
2020-06-13 07:23,10,4,192.168.1.3,11.6709
2020-06-13 07:23,10,4,192.168.1.4,8.77063
2020-06-13 07:23,10,4,192.168.1.5,9.79359
2020-06-13 07:23,10,4,192.168.1.6,10.7357
2020-06-13 07:23,10,4,192.168.1.7,8.43918
2020-06-13 07:23,10,4,192.168.1.8,6.79775
2020-06-13 07:23,10,4,192.168.1.9,9.96973
2020-06-13 07:23,10,4,192.168.1.10,11.3739
2020-06-13 07:24,2,5,192.168.1.1,61.5672
2020-06-13 07:24,2,5,192.168.1.2,60.5231
2020-06-13 07:24,4,5,192.168.1.1,25.8686
2020-06-13 07:24,4,5,192.168.1.2,28.4398
2020-06-13 07:24,4,5,192.168.1.3,27.9065
2020-06-13 07:24,4,5,192.168.1.4,26.892
2020-06-13 07:25,6,5,192.168.1.1,17.3782
2020-06-13 07:25,6,5,192.168.1.2,14.9824
2020-06-13 07:25,6,5,192.168.1.3,16.9903
