Timestamp,OfferedLoad,RngRun,Flow,Throughput,Delay
2017-10-26 15:07,0.75,2,1,0.268846,0.218806
2017-10-26 15:07,0.75,2,2,0.595473,0.00349771
2017-10-26 15:07,0.75,2,3,0.373167,0.115811
2017-10-26 15:07,0.75,2,4,0.153663,0.00203031
2017-10-26 15:07,0.75,2,5,0.481913,0.195638
2017-10-26 15:07,0.75,2,6,0.124281,0.00242925
2017-10-26 15:07,0.75,2,7,0.575162,0.0559422
2017-10-26 15:07,0.75,2,8,0.259607,0.00218289
2017-10-26 15:07,0.75,2,9,0.571337,0.149424
2017-10-26 15:26,0.75,3,0,0.483134,0.00332922
2017-10-26 15:26,0.75,3,1,0.337842,0.122358
2017-10-26 15:26,0.75,3,2,0.274031,0.00323256
2017-10-26 15:26,0.75,3,3,0.345693,0.114381
2017-10-26 15:26,0.75,3,4,0.283326,0.00183083
2017-10-26 15:26,0.75,3,5,0.530816,0.117698
2017-10-26 15:26,0.75,3,6,0.443646,0.00221526
2017-10-26 15:26,0.75,3,7,0.690827,0.0325413
2017-10-26 15:26,0.75,3,8,0.0975238,0.00342015
2017-10-26 15:26,0.75,3,9,0.592458,0.122328
2017-10-26 15:46,0.75,4,0,0.600916,0.00374256
2017-10-26 15:46,0.75,4,1,0.286847,0.270103
2017-10-26 15:46,0.75,4,2,0.638604,0.00271302
2017-10-26 15:46,0.75,4,3,0.401973,0.226207
2017-10-26 15:46,0.75,4,4,0.126446,0.00313943
2017-10-26 15:46,0.75,4,5,0.466707,0.190334
2017-10-26 15:46,0.75,4,6,0.318145,0.00241832
2017-10-26 15:46,0.75,4,7,0.644732,0.0654179
2017-10-26 15:46,0.75,4,8,0.273502,0.00189007
2017-10-26 15:46,0.75,4,9,0.516711,0.141313
2017-10-26 16:22,1,2,0,0.541225,0.00706364
2017-10-26 16:22,1,2,1,0.176949,0.48841
2017-10-26 16:22,1,2,2,0.831835,0.011977
2017-10-26 16:22,1,2,3,0.283818,0.35173
2017-10-26 16:22,1,2,4,0.0446424,0.00694717
2017-10-26 16:22,1,2,5,0.450374,0.229653
2017-10-26 16:22,1,2,6,0.383704,0.0134206
2017-10-26 16:22,1,2,7,0.756908,0.0866859
2017-10-26 16:22,1,2,8,0.332496,0.0019278
2017-10-26 16:22,1,2,9,0.516576,0.282849
2017-10-26 16:52,1,3,0,0.416392,0.00423803
2017-10-26 16:52,1,3,1,0.0643128,0.725472
2017-10-26 16:52,1,3,2,0.925469,0.0101508
2017-10-26 16:52,1,3,3,0.194578,0.388805
2017-10-26 16:52,1,3,4,0.210456,0.00284343
2017-10-26 16:52,1,3,5,0.271284,0.310257
2017-10-26 16:52,1,3,6,0.411856,0.00302637
2017-10-26 16:52,1,3,7,0.692383,0.0999032
2017-10-26 16:52,1,3,8,0.340015,0.00156982
2017-10-26 16:52,1,3,9,0.443444,0.386026
2017-10-26 17:25,1,4,0,0.097677,0.00530579
2017-10-26 17:25,1,4,1,0.126597,0.393148
2017-10-26 17:25,1,4,2,0.650035,0.00988256
2017-10-26 17:25,1,4,3,0.192486,0.288111
2017-10-26 17:25,1,4,4,0.0759942,0.00648847
2017-10-26 17:25,1,4,5,0.373197,0.318037
2017-10-26 17:25,1,4,6,0.192023,0.00335149
2017-10-26 17:25,1,4,7,0.633446,0.114816
2017-10-26 17:25,1,4,8,0.0704928,0.00122576
2017-10-26 17:25,1,4,9,0.467282,0.332218
2017-10-26 18:19,1.5,1,0,0.60475,0.00627726
2017-10-26 18:19,1.5,1,1,0.394693,0.631639
2017-10-26 18:19,1.5,1,2,0.804179,0.0134171
2017-10-26 18:19,1.5,1,3,0.0797306,1.16329
2017-10-26 18:19,1.5,1,4,0.392903,0.219248
2017-10-26 18:19,1.5,1,5,0.259098,0.456299
2017-10-26 18:19,1.5,1,6,-0,-nan
2017-10-26 18:19,1.5,1,7,0.610128,0.111612
2017-10-26 18:19,1.5,1,8,0.181449,0.00165072
2017-10-26 18:19,1.5,1,9,0.186791,1.30055
2017-10-26 19:17,1.5,2,0,0.0876024,0.0142237
2017-10-26 19:17,1.5,2,1,0.283997,0.58636
2017-10-26 19:17,1.5,2,2,1.05604,0.0111141
2017-10-26 19:17,1.5,2,3,0.00837171,0.703845
2017-10-26 19:17,1.5,2,4,8.77365e-05,0.0296983
2017-10-26 19:17,1.5,2,5,0.0361407,0.626623
2017-10-26 19:17,1.5,2,6,-0,-nan
2017-10-26 19:17,1.5,2,7,0.818977,0.0630111
2017-10-26 19:17,1.5,2,8,0.000814445,0.006554
2017-10-26 19:17,1.5,2,9,0.0578693,1.51193
2017-10-26 20:15,1.5,3,0,0.587326,0.00909019
2017-10-26 20:15,1.5,3,1,0.559029,0.372039
2017-10-26 20:15,1.5,3,2,0.320814,0.0278213
2017-10-26 20:15,1.5,3,3,0.0292759,1.06379
2017-10-26 20:15,1.5,3,4,0.0486484,0.00585886
2017-10-26 20:15,1.5,3,5,0.295937,0.557695
2017-10-26 20:15,1.5,3,6,-0,-nan
2017-10-26 20:15,1.5,3,7,1.12517,0.0620643
2017-10-26 20:15,1.5,3,8,0.194982,0.00155517
2017-10-26 20:15,1.5,3,9,0.148918,1.01864
2017-10-26 21:14,1.5,4,0,0.621096,0.00626448
2017-10-26 21:14,1.5,4,1,0.567859,0.546041
2017-10-26 21:14,1.5,4,2,0.752057,0.0091938
2017-10-26 21:14,1.5,4,3,0.0165891,0.862663
2017-10-26 21:14,1.5,4,4,0.880147,0.0143996
2017-10-26 21:14,1.5,4,5,0.108963,0.812479
2017-10-26 21:14,1.5,4,6,0.0731574,0.00672256
2017-10-26 21:14,1.5,4,7,0.908465,0.0854521
2017-10-26 21:14,1.5,4,8,0.00151086,0.00448256
2017-10-26 21:14,1.5,4,9,0.0668292,0.748987
2017-10-26 22:34,2,1,0,0.65388,0.00525785
2017-10-26 22:34,2,1,1,0.115911,0.734568
2017-10-26 22:34,2,1,2,0.640799,0.0165105
2017-10-26 22:34,2,1,3,0.0705708,0.718803
2017-10-26 22:34,2,1,4,0.456614,0.24962
2017-10-26 22:34,2,1,5,0.00816766,5.03053
2017-10-26 22:34,2,1,6,0.661525,0.0133682
2017-10-26 22:34,2,1,7,0.0804179,0.524449
